Dt,weight
4446.742,2.9278216424407207e-06
4449.462,1.994352218130214e-06
4442.976,1.083278512576818e-06
4448.5070000000005,3.4812230613072865e-06
4448.604,3.919141945222947e-06
4452.442,2.184372293807953e-06
4482.705,7.635192510032239e-07
4494.03,4.470617821270399e-07
4486.495,5.531053402225339e-07
4460.424,4.778906356561791e-06
4468.045999999999,1.786336853856055e-06
4472.7,1.7439470577470808e-06
4465.909000000001,2.111126873295928e-06
4480.167,1.0282842256219097e-05
4459.661,1.2290508212818147e-06
4455.108,6.04956241712754e-07
4451.5,2.91558183382707e-06
4450.001,5.835054986975703e-06
4449.4529999999995,4.702577385293628e-06
4440.585999999999,1.9370455260164282e-06
4451.657999999999,2.5446489377660677e-06
4453.124,2.209413119336138e-06
4457.23,3.2477439020134687e-06
4447.939,5.864972341250715e-06
4455.833,7.3844541322204575e-06
4462.208,2.0609740395690416e-06
4455.143,1.9072911697405694e-06
4429.602,7.826575888595304e-06
4422.657,9.713422157404074e-07
4398.754,3.954356218653995e-06
4402.193,4.243752976353624e-06
4382.232,1.0667058457578204e-05
4374.957,2.18175813602406e-06
4381.6320000000005,3.0971239502830143e-06
4390.177,7.181005806821315e-06
4396.129,8.034970893778886e-06
4411.287,1.0677410893790263e-06
4417.985,9.707572798826857e-06
4412.840999999999,6.870835057292863e-07
4401.121,2.938877652294697e-06
4388.289000000001,3.7869593367891486e-06
4378.187,7.562807987180302e-06
4383.956,3.7976749077841333e-06
4361.4,1.1121750660913086e-06
4369.627,5.090061799699054e-06
4366.548,1.2461950127307554e-07
4370.149,9.178035628159142e-06
4369.825,7.616886184114651e-06
4356.1990000000005,3.788245267206521e-06
4356.727,1.2820870689810686e-06
4363.7,4.682374402278294e-06
4360.665,6.071015223408536e-06
4362.738,1.1788531115235152e-06
4349.198,2.786413140928252e-06
4362.66,2.3869401205217946e-06
4351.562,1.1208670891411056e-05
4337.081,3.2528700859235556e-06
4335.893,1.1818381413371272e-06
4337.044,1.4585246658179523e-06
4345.001,7.3397225294147845e-06
4333.779,6.203033286393822e-06
4333.89,1.0174082357100367e-06
4320.041,1.008431481978174e-06
4321.497,1.624879598447704e-06
4325.925,1.395675010100041e-06
4337.460999999999,1.2964953699632048e-06
4331.45,4.869878841114667e-06
4336.272,4.483632386196483e-06
4346.375,2.9572066741362195e-06
4366.335999999999,2.173284819150343e-06
4348.079000000001,2.2504339385788036e-06
4357.456,1.5367693793926223e-06
4383.431,2.7711418790202174e-06
4378.219,1.1683381931287546e-06
4384.54,3.2863151089207543e-07
4383.87,6.460198737210202e-06
4386.337,2.099766531734672e-06
4363.893,2.482760763916581e-06
4360.427,5.435720205378655e-06
4360.7,6.025788436807965e-06
4340.554,8.749871865002948e-07
4350.524,2.5038153598958473e-05
4355.909000000001,1.4359994771311332e-06
4353.069,1.4851454371417298e-07
4358.590999999999,3.0987498037429254e-06
4367.548,1.9429965004348904e-07
4352.592000000001,1.1984298933648865e-06
4351.392,7.253075681636913e-06
4354.7429999999995,3.9775101875970424e-06
4360.896,4.064401016557191e-06
4388.45,1.5306074360448757e-06
4369.818,3.4890923571145214e-07
4340.029,6.71704953999024e-06
4345.282999999999,4.196530495896329e-06
4357.293,6.728691517334844e-06
4367.219,1.0940430861348392e-05
4376.994000000001,8.167133385371014e-06
4379.745,3.828114784126051e-06
4373.3009999999995,1.255552439004945e-06
4393.082,4.379180070276902e-06
4379.973,2.335813425331611e-06
4390.7,5.872946863614365e-06
4383.929,4.700055558654825e-06
4389.496,3.147771967804797e-07
4376.195,1.0888008435228229e-06
4407.988,1.833528901142621e-06
4398.624,3.1003013796336016e-06
4402.101,1.547288424319007e-06
4413.476,6.849851643984113e-07
4436.215999999999,9.55662943018036e-07
4433.639,1.0903606724767475e-05
4434.639,7.129836814681985e-07
4417.068,5.978555124205158e-13
4423.151,2.3649420962499592e-06
4405.469,1.6836001434592103e-06
4399.026,4.867574173202584e-07
4408.265,6.41373399112239e-06
4416.967000000001,1.4315118739898814e-06
4410.306,8.110347152058324e-07
4399.069,5.03930752398795e-07
4406.72,5.088660842212659e-06
4423.615,7.437928823904777e-07
4437.795,5.794253905542023e-07
4446.856,2.809640871624081e-06
4444.232,1.1929318057921735e-06
4444.303,1.1355921014253948e-06
4464.525,3.82541190591224e-07
4456.854,7.640928388989794e-07
4458.305,3.768055179602512e-07
4459.217000000001,1.4268071121219092e-06
4450.419,2.162171037853629e-06
4461.2970000000005,6.264853888287962e-07
4451.505999999999,5.254880115115266e-06
4450.367,6.270827042813905e-07
4459.857,2.657347095503585e-06
4456.005,2.8983659438911594e-06
4445.103,4.9682527759518895e-06
